PlayerName,MatchesPlayed,Rank,PlayerProfile,TotalPoints,SuccessfulRaidPoints,RaidPoints,SuccessfulTackles,TacklePoints,AverageRaidPoints,AverageTacklePoints,DODRaidPoints,SuperRaids,SuperTackles,Super10s,High5s
                    Amit Sheoran,17,67.0,Defender,34,4.0,6.0,6.0,7.0,1.0,0.8,1.0,,1.0,,
                    Vijay,15,70.0,All Rounder,33,3.0,6.0,6.0,7.0,0.93,0.77,1.0,,1.0,,
                    Sonu Jaglan,13,70.0,Raider,33,3.0,5.0,6.0,7.0,0.89,0.75,1.0,,1.0,,
                    Ravi Kumar,14,72.0,"Defender, right cover",31,3.0,5.0,6.0,7.0,0.85,0.75,1.0,,1.0,,
                    Meraj Sheykh,12,72.0,All Rounder,31,3.0,5.0,6.0,7.0,0.8,0.7,,,1.0,,
                    Amit Hooda,12,72.0,"Defender, right corner",31,3.0,5.0,5.0,6.0,0.8,0.69,,,1.0,,
                    Ashu Singh,17,72.0,"Defender, right cover",31,3.0,4.0,5.0,6.0,0.79,0.67,,,1.0,,
                    Girish Maruti Ernak,13,76.0,"Defender, left corner",29,3.0,4.0,5.0,6.0,0.71,0.67,,,1.0,,
                    Jeeva Kumar,17,76.0,"Defender, right and left cover",29,3.0,4.0,4.0,5.0,0.67,0.67,,,1.0,,
                    Sukesh Hegde,11,76.0,Raider,29,2.0,4.0,4.0,5.0,0.67,0.67,,,1.0,,
                    Shabeer Bappu,14,76.0,Raider,29,2.0,4.0,4.0,5.0,0.67,0.65,,,,,
                    Rajnish,8,80.0,Raider,28,2.0,4.0,4.0,5.0,0.6,0.61,,,,,
                    Jadhav Balasaheb Shahaji,16,81.0,"Defender, right cover",27,2.0,3.0,4.0,5.0,0.57,0.6,,,,,
                    Vikas Jaglan,17,82.0,All Rounder,25,1.0,3.0,4.0,4.0,0.5,0.57,,,,,
                    Pawan Kumar Kadian,6,82.0,Raider,25,1.0,3.0,4.0,4.0,0.5,0.57,,,,,
                    Amit,17,84.0,"Defender, left cover",24,1.0,2.0,4.0,4.0,0.5,0.56,,,,,
                    Rakesh Gowda,7,84.0,Raider,24,1.0,2.0,4.0,4.0,0.36,0.5,,,,,
                    C. Arun,16,86.0,"Defender, left cover",21,1.0,2.0,4.0,4.0,0.33,0.44,,,,,
                    Vishal Mane,16,86.0,"Defender, right cover",21,1.0,2.0,3.0,4.0,0.33,0.4,,,,,
                    Sushil Gulia,7,88.0,Raider,20,1.0,2.0,3.0,4.0,0.33,0.39,,,,,
                    Ajinkya Ashok Pawar,14,89.0,Raider,19,1.0,2.0,3.0,4.0,0.25,0.33,,,,,
                    Shubham Shinde,13,90.0,"Defender, right corner",18,1.0,2.0,3.0,4.0,0.25,0.33,,,,,
                    Harendra Kumar,15,91.0,"Defender, left cover",17,1.0,2.0,3.0,4.0,0.25,0.33,,,,,
                    Mohit Sehrawat,11,91.0,"Defender, right cover",17,1.0,2.0,3.0,4.0,0.2,0.33,,,,,
                    Hadi Tajik,11,91.0,"Defender, right corner",17,1.0,2.0,3.0,4.0,0.17,0.31,,,,,
                    Anil Kumar,12,94.0,"Defender, left cover",16,1.0,2.0,3.0,3.0,0.14,0.3,,,,,
                    Pankaj,7,94.0,All Rounder,16,1.0,1.0,3.0,3.0,0.0,0.29,,,,,
                    Sumit Malik,14,96.0,"Defender, left corner",15,1.0,1.0,3.0,3.0,0.0,0.29,,,,,
                    Ajeet,14,97.0,"Defender, right cover",14,1.0,1.0,3.0,3.0,0.0,0.28,,,,,
                    Santhapanaselvam,6,97.0,All Rounder,14,1.0,1.0,2.0,3.0,0.0,0.27,,,,,
                    Vineet Sharma,10,97.0,Raider,14,1.0,1.0,2.0,3.0,0.0,0.27,,,,,
                    Sagar B Krishna,10,100.0,All Rounder,13,1.0,1.0,2.0,3.0,0.0,0.25,,,,,
                    Amit Kumar,9,100.0,Raider,13,1.0,1.0,2.0,3.0,0.0,0.24,,,,,
                    Ankit,12,100.0,"Defender, right corner",13,1.0,1.0,2.0,3.0,0.0,0.23,,,,,
                    Amit Kumar,5,100.0,All Rounder,13,,1.0,2.0,2.0,0.0,0.2,,,,,
                    Selvamani K,6,104.0,Raider,12,,1.0,2.0,2.0,,0.18,,,,,
                    Sachin Narwal,11,104.0,All Rounder,12,,1.0,2.0,2.0,,0.15,,,,,
                    Pavan T. R.,13,106.0,"Defender, right cover",11,,1.0,2.0,2.0,,0.13,,,,,
                    Banty,9,106.0,Raider,11,,,2.0,2.0,,0.13,,,,,
                    Surender Singh,4,106.0,Raider,11,,,2.0,2.0,,0.11,,,,,
                    Dong Geon Lee,4,109.0,Raider,10,,,2.0,2.0,,0.09,,,,,
                    Ruturaj Shivaji Koravi,13,109.0,Defender,10,,,2.0,2.0,,0.08,,,,,
                    Sunil Siddhgavali,13,111.0,Defender,9,,,2.0,2.0,,0.08,,,,,
                    Armaan,6,111.0,All Rounder,9,,,2.0,2.0,,0.07,,,,,
                    Sagar,9,111.0,"Defender, right corner",9,,,2.0,2.0,,0.07,,,,,
                    Sushant Sail,7,114.0,Raider,8,,,2.0,2.0,,0.07,,,,,
                    Ankit Beniwal,5,114.0,Raider,8,,,1.0,2.0,,0.06,,,,,
                    Victor Onyango Obiero,3,114.0,All Rounder,8,,,1.0,2.0,,0.0,,,,,
                    Saeid Ghaffari,9,114.0,"Defender, left cover",8,,,1.0,1.0,,0.0,,,,,
                    Mohsen Maghsoudloujafari,10,118.0,All Rounder,7,,,1.0,1.0,,0.0,,,,,
                    Viraj Vishnu Landge,8,118.0,"Defender, left cover",7,,,1.0,1.0,,0.0,,,,,
                    Vinod Kumar,7,118.0,All Rounder,7,,,1.0,1.0,,,,,,,
                    Ankush,3,118.0,Raider,7,,,1.0,1.0,,,,,,,
                    Sanket Sawant,5,118.0,"Defender, left cover",7,,,1.0,1.0,,,,,,,
                    Chand Singh,6,123.0,"Defender, left corner",6,,,1.0,1.0,,,,,,,
                    Kuldeep Singh,8,123.0,Defender,6,,,1.0,1.0,,,,,,,
                    Anand,5,123.0,Raider,6,,,1.0,1.0,,,,,,,
                    Azad Singh,4,123.0,Raider,6,,,1.0,1.0,,,,,,,
                    M. Abishek,5,123.0,"Defender, right cover",6,,,1.0,1.0,,,,,,,
                    Young Chang Ko,10,123.0,"Defender, left cover",6,,,1.0,1.0,,,,,,,
                    Abolfazl Maghsodloumahali,6,129.0,Raider,5,,,1.0,1.0,,,,,,,
                    Ashish Kumar,6,129.0,All Rounder,5,,,1.0,1.0,,,,,,,
                    Amit Kumar,3,129.0,All Rounder,5,,,1.0,1.0,,,,,,,
                    Ashish,7,129.0,Raider,5,,,1.0,1.0,,,,,,,
                    Lalit Chaudhary,4,129.0,Raider,5,,,1.0,1.0,,,,,,,
                    Ankit,5,129.0,Defender,5,,,1.0,1.0,,,,,,,
                    Vijay Kumar,9,129.0,"Defender, right corner",5,,,1.0,1.0,,,,,,,
                    Mayur Shivtarkar,6,136.0,All Rounder,4,,,1.0,1.0,,,,,,,
                    Parveen,6,136.0,"Defender, left cover",4,,,1.0,1.0,,,,,,,
                    Purna Singh,5,136.0,Raider,4,,,1.0,1.0,,,,,,,
                    Sachin Kumar,12,136.0,All Rounder,4,,,,,,,,,,,
                    Gurvinder Singh,2,136.0,Raider,4,,,,,,,,,,,
                    Krushna Madane,7,136.0,Defender,4,,,,,,,,,,,
                    Darshan Kadian,5,136.0,Raider,4,,,,,,,,,,,
                    Jawahar Dagar,5,136.0,Defender,4,,,,,,,,,,,
                    Elavarasan A,3,136.0,"Defender, left cover",4,,,,,,,,,,,
                    Harmanjit Singh,3,136.0,Raider,4,,,,,,,,,,,
                    Ravinder,4,146.0,All Rounder,3,,,,,,,,,,,
                    Rakesh Narwal,1,146.0,Raider,3,,,,,,,,,,,
                    Adarsh T,9,146.0,"Defender, left corner",3,,,,,,,,,,,
                    Aman Kadian,2,149.0,Raider,2,,,,,,,,,,,
                    Ajay,7,149.0,Defender,2,,,,,,,,,,,
                    Kamal Singh,3,149.0,Raider,2,,,,,,,,,,,
                    Arun Kumar HN,2,149.0,Raider,2,,,,,,,,,,,
                    Ponparthiban Subramanian,5,149.0,"Defender, right cover",2,,,,,,,,,,,
                    Gurdeep,2,149.0,All Rounder,2,,,,,,,,,,,
                    Rajaguru Subramanian,4,149.0,"Defender, right cover",2,,,,,,,,,,,
                    Ravindra Ramesh Kumawat,2,149.0,Raider,2,,,,,,,,,,,
                    Balram,1,149.0,All Rounder,2,,,,,,,,,,,
                    Palle Mallikarjun,3,149.0,Raider,2,,,,,,,,,,,
                    Naveen Narwal,3,159.0,"Defender, right cover",1,,,,,,,,,,,
                    Vikas Chhillar,1,159.0,Raider,1,,,,,,,,,,,
                    Mohammad Taghi Paein Mahali,3,159.0,Raider,1,,,,,,,,,,,
                    Ajinkya Rohidas Kapre,2,159.0,All Rounder,1,,,,,,,,,,,
                    Satywan,1,159.0,"Defender, left cover",1,,,,,,,,,,,
                    Aman,2,159.0,"Defender, left corner",1,,,,,,,,,,,
                    Emad Sedaghatnia,1,159.0,Raider,1,,,,,,,,,,,
